,slide_number_in_experiment,verb,contentNr,content,speakerGender,fact,fact_type,utterance,question,subjectGender,speakerName,subjectName,trigger_class,response,rt,participant
17,19,admit,1,X happened,F,Mary is a middle school student,factL,Did Patrick admit that X happened?,1,M,Jennifer,Ronald,C,0.65,1241,2
18,20,prove,13,X happened,F,Jackson is training for a marathon,factH,Did Laura prove that X happened?,13,F,Donna,Rachel,C,0.9,1395,2
19,21,pretend,14,X happened,M,Jayden doesn't have a driver's license,factL,Did Stephanie pretend that X happened?,14,F,David,Diane,NonProj,0.64,1298,2
20,22,control,control3,X happened,F,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that X happened?",control3,NA,Ashley,NA,control,0.82,2500,2
21,23,control,control4,X happened,F,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that X happened?",control4,NA,Dorothy,NA,control,0.59,2055,2
22,24,reveal,6,X happened,F,Mia is a nun,factL,Did Ray reveal that X happened?,6,M,Ashley,Benjamin,NonProj,0.82,1050,2
23,25,annoyed,12,X happened,F,Frank has always wanted a pet,factH,Is Melissa annoyed that X happened?,12,F,Helen,Carolyn,NonProj,0.72,3702,2
24,26,think,19,X happened,F,Jon lives 2 blocks away from work,factH,Does Ruth think that X happened?,19,F,Elizabeth,Angela,NonProj,0.76,2156,2
25,27,say,7,X happened,M,Isabella is from Argentina,factH,Did Kevin say that X happened?,7,M,Robert,Edward,C,0.55,1168,2
0,2,see,16,X happened,M,Josh is a 5-year old boy,factH,Did Sharon see that X happened?,16,F,Robert,Janet,NonProj,0.88,10195,3
1,3,control,control6,X happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that X happened?",control6,NA,Elizabeth,NA,control,0.99,5016,3
2,4,control,control5,X happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that X happened?",control5,NA,Jennifer,NA,control,0.94,4842,3
3,5,acknowledge,15,X happened,F,Tony really likes to party with his friends,factH,Did Rebecca acknowledge that X happened?,15,F,Sandra,Sharon,C,0.98,5612,3
4,6,say,10,X happened,F,Zoe is a math major,factH,Did Tim say that X happened?,10,M,Nancy,Jacob,C,0.28,4866,3
5,7,reveal,19,X happened,F,Jon lives 10 miles away from work,factL,Did Ruth reveal that X happened?,19,F,Ashley,Carolyn,NonProj,0.63,8090,3
6,8,know,8,X happened,F,Emily has been saving for a year,factH,Does Brian know that X happened?,8,M,Carol,Nicholas,NonProj,0.78,2677,3
7,9,think,4,X happened,F,Olivia works the third shift,factH,Does Jerry think that X happened?,4,M,Jessica,Brandon,NonProj,0.14,4202,3
8,10,prove,6,X happened,F,Mia is a nun,factL,Did Ray prove that X happened?,6,M,Jennifer,Jeffrey,C,0.33,4324,3
9,11,admit,5,X happened,F,Sophia is a hipster,factH,Did Ben admit that X happened?,5,M,Kimberly,Edward,C,0.84,2723,3
10,12,control,control1,X happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though X happened last night?",control1,NA,Lisa,NA,control,0.98,5766,3
11,13,be_right_that,9,X happened,M,Grace hates her sister,factL,Is Andrew right that X happened?,9,M,Paul,Timothy,C,0.08,4530,3
12,14,hear,18,X happened,M,Julian is German,factL,Did Kathleen hear that X happened?,18,F,Matthew,Anna,C,0.64,3635,3
13,15,announce,3,X happened,F,Emma is in first grade,factL,Did Justin announce that X happened?,3,M,Elizabeth,Alexander,C,0.49,3245,3
14,16,confess,1,X happened,F,Mary is taking a prenatal yoga class,factH,Did Patrick confess that X happened?,1,M,Sarah,Brian,C,0.35,4501,3
15,17,control,control3,X happened,M,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that X happened?",control3,NA,James,NA,control,0.79,8020,3
16,18,discover,17,X happened,M,Owen lives in New Orleans,factL,Did Cynthia discover that X happened?,17,F,Richard,Virginia,NonProj,0.79,3997,3
17,19,annoyed,13,X happened,M,Jackson is training for a marathon,factH,Is Laura annoyed that X happened?,13,F,Steven,Julie,NonProj,0.88,2804,3
18,20,control,control2,X happened,M,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after X happened?,control2,NA,Richard,NA,control,0.85,6764,3
19,21,confirm,12,X happened,M,Frank has always wanted a pet,factH,Did Melissa confirm that X happened?,12,F,Thomas,Catherine,C,0.57,4127,3
20,22,pretend,7,X happened,F,Isabella is a vegetarian,factL,Did Kevin pretend that X happened?,7,M,Lisa,Eric,NonProj,0.3,5518,3
21,23,inform_Sam,20,X happened,F,Charley lives in Korea,factL,Did Anna inform Sam that X happened?,20,F,Michelle,Melissa,C,0.82,9521,3
22,24,control,control4,X happened,M,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that X happened?",control4,NA,Paul,NA,control,0.82,7480,3
23,25,suggest,14,X happened,M,Jayden doesn't have a driver's license,factL,Did Stephanie suggest that X happened?,14,F,James,Kathleen,C,0.35,2630,3
24,26,establish,2,X happened,F,Josie loves France,factH,Did Scott establish that X happened?,2,M,Helen,Ryan,NonProj,0.55,3697,3
25,27,demonstrate,11,X happened,F,Danny is a diabetic,factL,Did Amanda demonstrate that X happened?,11,F,Margaret,Brenda,C,0.3,6103,3
0,2,control,control4,X happened,M,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that X happened?",control4,NA,Steven,NA,control,0.22,18963,4
1,3,admit,20,X happened,F,Charley lives in Korea,factL,Did Anna admit that X happened?,20,F,Donna,Joyce,C,0.57,67923,4
2,4,discover,19,X happened,F,Jon lives 2 blocks away from work,factH,Did Ruth discover that X happened?,19,F,Carol,Ruth,NonProj,0.4,4959,4
3,5,annoyed,7,X happened,F,Isabella is from Argentina,factH,Is Kevin annoyed that X happened?,7,M,Karen,Justin,NonProj,0.77,6496,4
4,6,say,16,X happened,M,Josh is a 5-year old boy,factH,Did Sharon say that X happened?,16,F,George,Virginia,C,0.41,2221,4
5,7,prove,8,X happened,F,Emily has been saving for a year,factH,Did Brian prove that X happened?,8,M,Betty,Jacob,C,0.27,3474,4
6,8,control,control6,X happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that X happened?",control6,NA,Donna,NA,control,0.69,3490,4
7,9,control,control1,X happened,M,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though X happened last night?",control1,NA,James,NA,control,0.49,3806,4
8,10,know,11,X happened,F,Danny loves cake,factH,Does Amanda know that X happened?,11,F,Sarah,Angela,NonProj,0.33,2537,4
9,11,see,1,X happened,M,Mary is a middle school student,factL,Did Patrick see that X happened?,1,M,James,Raymond,NonProj,0.27,2406,4
10,12,confirm,3,X happened,F,Emma is in law school,factH,Did Justin confirm that X happened?,3,M,Margaret,Andrew,C,0.57,3296,4
11,13,demonstrate,5,X happened,F,Sophia is a high end fashion model,factL,Did Ben demonstrate that X happened?,5,M,Jennifer,Jerry,C,0.35,2260,4
12,14,be_right_that,17,X happened,M,Owen lives in New Orleans,factL,Is Cynthia right that X happened?,17,F,Richard,Carolyn,C,0.36,5014,4
13,15,hear,12,X happened,M,Frank is allergic to cats,factL,Did Melissa hear that X happened?,12,F,David,Brenda,C,0.66,8800,4
14,16,think,10,X happened,F,Zoe is 5 years old,factL,Does Tim think that X happened?,10,M,Kimberly,Gregory,NonProj,0.25,2978,4
15,17,acknowledge,18,X happened,F,Julian is Cuban,factH,Did Kathleen acknowledge that X happened?,18,F,Helen,Heather,C,0.28,2361,4
16,18,pretend,4,X happened,M,Olivia has two small children,factL,Did Jerry pretend that X happened?,4,M,Steven,Benjamin,NonProj,0.29,2417,4
17,19,announce,14,X happened,F,Jayden's car is in the shop,factH,Did Stephanie announce that X happened?,14,F,Linda,Kathleen,C,0.13,1264,4
18,20,suggest,13,X happened,F,Jackson is training for a marathon,factH,Did Laura suggest that X happened?,13,F,Nancy,Rachel,C,0.4,1785,4
19,21,reveal,6,X happened,M,Mia is a college student,factH,Did Ray reveal that X happened?,6,M,Matthew,Scott,NonProj,0.65,2181,4
20,22,establish,9,X happened,F,Grace hates her sister,factL,Did Andrew establish that X happened?,9,M,Susan,Larry,NonProj,0.4,3205,4
21,23,control,control2,X happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after X happened?,control2,NA,Susan,NA,control,0.32,3203,4
22,24,inform_Sam,2,X happened,F,Josie doesn't have a passport,factL,Did Scott inform Sam that X happened?,2,M,Lisa,Jeffrey,C,0.31,2654,4
23,25,control,control3,X happened,F,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that X happened?",control3,NA,Dorothy,NA,control,0.21,1547,4
24,26,control,control5,X happened,M,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that X happened?",control5,NA,David,NA,control,0.38,2234,4
25,27,confess,15,X happened,F,Tony has been sober for 20 years,factL,Did Rebecca confess that X happened?,15,F,Dorothy,Amanda,C,0.43,1495,4
0,2,admit,12,X happened,M,Frank has always wanted a pet,factH,Did Melissa admit that X happened?,12,F,Matthew,Amanda,C,0.7,13911,5
1,3,see,9,X happened,M,Grace hates her sister,factL,Did Andrew see that X happened?,9,M,James,Patrick,NonProj,0.06,6368,5
2,4,acknowledge,18,X happened,M,Julian is German,factL,Did Kathleen acknowledge that X happened?,18,F,William,Stephanie,C,1.0,5831,5
3,5,control,control6,X happened,M,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that X happened?",control6,NA,Robert,NA,control,1.0,7841,5
4,6,control,control5,X happened,M,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that X happened?",control5,NA,Richard,NA,control,1.0,4959,5
5,7,suggest,13,X happened,F,Jackson is training for a marathon,factH,Did Laura suggest that X happened?,13,F,Dorothy,Brenda,C,0.46,4936,5
6,8,discover,4,X happened,F,Olivia works the third shift,factH,Did Jerry discover that X happened?,4,M,Helen,Raymond,NonProj,0.83,4744,5
7,9,annoyed,8,X happened,M,Emily never has any money,factL,Is Brian annoyed that X happened?,8,M,Paul,Timothy,NonProj,0.98,9096,5
8,10,control,control4,X happened,M,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that X happened?",control4,NA,William,NA,control,1.0,5536,5
9,11,confess,2,X happened,F,Josie doesn't have a passport,factL,Did Scott confess that X happened?,2,M,Lisa,Scott,C,0.35,4224,5
10,12,control,control2,X happened,M,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after X happened?,control2,NA,James,NA,control,1.0,4512,5
11,13,hear,15,X happened,F,Tony has been sober for 20 years,factL,Did Rebecca hear that X happened?,15,F,Michelle,Nicole,C,0.62,4472,5
12,14,know,17,X happened,M,Owen lives in Chicago,factH,Does Cynthia know that X happened?,17,F,Christopher,Diane,NonProj,0.85,6000,5
13,15,establish,20,X happened,M,Charley lives in Korea,factL,Did Anna establish that X happened?,20,F,Steven,Carolyn,NonProj,0.05,3336,5
14,16,think,1,X happened,M,Mary is taking a prenatal yoga class,factH,Does Patrick think that X happened?,1,M,Thomas,Edward,NonProj,0.0,11248,5
15,17,say,16,X happened,M,Josh is a 75-year old man,factL,Did Sharon say that X happened?,16,F,George,Rachel,C,0.0,4512,5
16,18,reveal,10,X happened,F,Zoe is a math major,factH,Did Tim reveal that X happened?,10,M,Karen,Kevin,NonProj,0.49,5640,5
17,19,control,control1,X happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though X happened last night?",control1,NA,Lisa,NA,control,1.0,4288,5
18,20,be_right_that,11,X happened,M,Danny is a diabetic,factL,Is Amanda right that X happened?,11,F,Robert,Joyce,C,0.0,3448,5
19,21,control,control3,X happened,F,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that X happened?",control3,NA,Donna,NA,control,1.0,3960,5
20,22,inform_Sam,6,X happened,F,Mia is a nun,factL,Did Ray inform Sam that X happened?,6,M,Donna,Jeffrey,C,0.92,5264,5
21,23,prove,5,X happened,F,Sophia is a hipster,factH,Did Ben prove that X happened?,5,M,Margaret,Larry,C,0.0,3960,5
22,24,announce,14,X happened,F,Jayden's car is in the shop,factH,Did Stephanie announce that X happened?,14,F,Betty,Kathleen,C,0.06,3408,5
23,25,confirm,19,X happened,F,Jon lives 2 blocks away from work,factH,Did Ruth confirm that X happened?,19,F,Linda,Anna,C,0.0,2856,5
24,26,pretend,3,X happened,M,Emma is in first grade,factL,Did Justin pretend that X happened?,3,M,Richard,Ronald,NonProj,0.2,4600,5
25,27,demonstrate,7,X happened,M,Isabella is from Argentina,factH,Did Kevin demonstrate that X happened?,7,M,Mark,Justin,C,0.0,4368,5
0,2,confirm,5,X happened,M,Sophia is a hipster,factH,Did Ben confirm that X happened?,5,M,Richard,Justin,C,0.72,8121,6
1,3,demonstrate,18,X happened,F,Julian is Cuban,factH,Did Kathleen demonstrate that X happened?,18,F,Karen,Angela,C,0.93,168862,6
2,4,control,control1,X happened,M,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though X happened last night?",control1,NA,William,NA,control,1.0,5425,6
3,5,announce,11,X happened,M,Danny loves cake,factH,Did Amanda announce that X happened?,11,F,James,Brenda,C,0.25,3818,6
