,slide_number_in_experiment,verb,contentNr,content,speakerGender,fact,fact_type,utterance,question,subjectGender,speakerName,subjectName,trigger_class,response,rt,participant
0,2,inform_Sam,11,that thing happened,F,Danny is a diabetic,factL,Did Amanda inform Sam that a particular thing happened?,11,F,Donna,Shirley,C,0.0,15699,1
1,3,control,control6,that thing happened,M,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Mark,NA,control,0.0,11393,1
2,4,control,control4,that thing happened,F,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,Elizabeth,NA,control,0.93,13881,1
3,5,confirm,13,that thing happened,F,Jackson is training for a marathon,factH,Did Laura confirm that a particular thing happened?,13,F,Nancy,Janet,C,0.0,6903,1
4,6,be_right_that,20,that thing happened,F,Charley lives in Mexico,factH,Is Anna right that a particular thing happened?,20,F,Carol,Nicole,C,0.0,4640,1
5,7,prove,3,that thing happened,F,Emma is in law school,factH,Did Justin prove that a particular thing happened?,3,M,Lisa,Brandon,C,0.0,5977,1
6,8,admit,2,that thing happened,F,Josie doesn't have a passport,factL,Did Scott admit that a particular thing happened?,2,M,Jennifer,Nicholas,C,0.49,7887,1
7,9,announce,14,that thing happened,F,Jayden's car is in the shop,factH,Did Stephanie announce that a particular thing happened?,14,F,Betty,Joyce,C,0.47,6789,1
8,10,discover,1,that thing happened,F,Mary is taking a prenatal yoga class,factH,Did Patrick discover that a particular thing happened?,1,M,Karen,Ryan,NonProj,0.49,5724,1
9,11,control,control3,that thing happened,M,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,Thomas,NA,control,0.94,6669,1
10,12,control,control1,that thing happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Linda,NA,control,0.9,4770,1
11,13,say,17,that thing happened,F,Owen lives in Chicago,factH,Did Cynthia say that a particular thing happened?,17,F,Sarah,Stephanie,C,0.0,5584,1
12,14,demonstrate,9,that thing happened,M,Grace hates her sister,factL,Did Andrew demonstrate that a particular thing happened?,9,M,Robert,Tyler,C,0.0,4832,1
13,15,control,control5,that thing happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Jennifer,NA,control,0.93,7652,1
14,16,suggest,19,that thing happened,F,Jon lives 2 blocks away from work,factH,Did Ruth suggest that a particular thing happened?,19,F,Dorothy,Amy,C,0.0,4927,1
15,17,pretend,10,that thing happened,F,Zoe is 5 years old,factL,Did Tim pretend that a particular thing happened?,10,M,Linda,Jeffrey,NonProj,0.0,3313,1
16,18,control,control2,that thing happened,M,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Christopher,NA,control,0.97,7902,1
17,19,annoyed,7,that thing happened,M,Isabella is a vegetarian,factL,Is Kevin annoyed that a particular thing happened?,7,M,James,Benjamin,NonProj,0.5,4987,1
18,20,hear,5,that thing happened,M,Sophia is a high end fashion model,factL,Did Ben hear that a particular thing happened?,5,M,Christopher,Larry,C,0.01,4914,1
19,21,know,12,that thing happened,F,Frank is allergic to cats,factL,Does Melissa know that a particular thing happened?,12,F,Elizabeth,Rachel,NonProj,0.48,5863,1
20,22,acknowledge,4,that thing happened,M,Olivia has two small children,factL,Did Jerry acknowledge that a particular thing happened?,4,M,Richard,Jacob,C,0.49,3891,1
21,23,see,15,that thing happened,M,Tony really likes to party with his friends,factH,Did Rebecca see that a particular thing happened?,15,F,William,Melissa,NonProj,0.49,5323,1
22,24,reveal,18,that thing happened,M,Julian is German,factL,Did Kathleen reveal that a particular thing happened?,18,F,Mark,Catherine,NonProj,0.5,3917,1
23,25,establish,16,that thing happened,M,Josh is a 75-year old man,factL,Did Sharon establish that a particular thing happened?,16,F,Thomas,Christina,NonProj,0.01,4381,1
24,26,think,8,that thing happened,M,Emily has been saving for a year,factH,Does Brian think that a particular thing happened?,8,M,Steven,Raymond,NonProj,0.0,3454,1
25,27,confess,6,that thing happened,M,Mia is a college student,factH,Did Ray confess that a particular thing happened?,6,M,David,Brian,C,0.51,4806,1
0,2,discover,12,that thing happened,M,Frank has always wanted a pet,factH,Did Melissa discover that a particular thing happened?,12,F,Steven,Ruth,NonProj,0.99,13148,2
1,3,control,control4,that thing happened,M,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,Kenneth,NA,control,0.98,11503,2
2,4,control,control5,that thing happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Linda,NA,control,0.7,7228,2
3,5,suggest,8,that thing happened,F,Emily has been saving for a year,factH,Did Brian suggest that a particular thing happened?,8,M,Ashley,Brandon,C,0.02,10761,2
4,6,annoyed,7,that thing happened,F,Isabella is a vegetarian,factL,Is Kevin annoyed that a particular thing happened?,7,M,Linda,Justin,NonProj,0.83,6678,2
5,7,demonstrate,15,that thing happened,M,Tony has been sober for 20 years,factL,Did Rebecca demonstrate that a particular thing happened?,15,F,Mark,Amanda,C,0.52,5496,2
6,8,control,control6,that thing happened,M,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Matthew,NA,control,0.97,5185,2
7,9,reveal,17,that thing happened,F,Owen lives in Chicago,factH,Did Cynthia reveal that a particular thing happened?,17,F,Margaret,Anna,NonProj,0.2,5382,2
8,10,control,control2,that thing happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Jessica,NA,control,0.61,8756,2
9,11,establish,13,that thing happened,F,Jackson is obese,factL,Did Laura establish that a particular thing happened?,13,F,Jessica,Janet,NonProj,0.02,9207,2
10,12,acknowledge,3,that thing happened,F,Emma is in first grade,factL,Did Justin acknowledge that a particular thing happened?,3,M,Susan,Timothy,C,0.22,6408,2
11,13,hear,16,that thing happened,F,Josh is a 5-year old boy,factH,Did Sharon hear that a particular thing happened?,16,F,Betty,Virginia,C,0.75,4888,2
12,14,think,5,that thing happened,M,Sophia is a high end fashion model,factL,Does Ben think that a particular thing happened?,5,M,Matthew,Alexander,NonProj,0.52,5521,2
13,15,pretend,14,that thing happened,M,Jayden doesn't have a driver's license,factL,Did Stephanie pretend that a particular thing happened?,14,F,Christopher,Catherine,NonProj,0.48,63824,2
14,16,confess,2,that thing happened,F,Josie doesn't have a passport,factL,Did Scott confess that a particular thing happened?,2,M,Lisa,Scott,C,0.73,4945,2
15,17,be_right_that,11,that thing happened,M,Danny is a diabetic,factL,Is Amanda right that a particular thing happened?,11,F,Kenneth,Joyce,C,0.85,5904,2
16,18,see,6,that thing happened,M,Mia is a nun,factL,Did Ray see that a particular thing happened?,6,M,George,Larry,NonProj,1.0,6429,2
17,19,control,control1,that thing happened,M,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Christopher,NA,control,0.97,4735,2
18,20,admit,9,that thing happened,F,Grace loves her sister,factH,Did Andrew admit that a particular thing happened?,9,M,Donna,Gary,C,0.49,6422,2
19,21,prove,20,that thing happened,F,Charley lives in Mexico,factH,Did Anna prove that a particular thing happened?,20,F,Carol,Shirley,C,0.82,3244,2
20,22,inform_Sam,10,that thing happened,M,Zoe is a math major,factH,Did Tim inform Sam that a particular thing happened?,10,M,David,Jerry,C,1.0,4097,2
21,23,say,1,that thing happened,M,Mary is taking a prenatal yoga class,factH,Did Patrick say that a particular thing happened?,1,M,Robert,Ronald,C,0.47,6319,2
22,24,announce,19,that thing happened,M,Jon lives 2 blocks away from work,factH,Did Ruth announce that a particular thing happened?,19,F,Richard,Rebecca,C,0.0,5605,2
23,25,confirm,18,that thing happened,M,Julian is German,factL,Did Kathleen confirm that a particular thing happened?,18,F,James,Amy,C,0.0,4284,2
24,26,control,control3,that thing happened,M,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,Mark,NA,control,0.98,6143,2
25,27,know,4,that thing happened,F,Olivia works the third shift,factH,Does Jerry know that a particular thing happened?,4,M,Kimberly,Brian,NonProj,0.97,3204,2
0,2,know,5,that thing happened,M,Sophia is a high end fashion model,factL,Does Ben know that a particular thing happened?,5,M,Paul,Patrick,NonProj,0.67,18078,3
1,3,say,9,that thing happened,F,Grace loves her sister,factH,Did Andrew say that a particular thing happened?,9,M,Sarah,Timothy,C,0.82,11672,3
2,4,control,control5,that thing happened,M,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Kenneth,NA,control,0.18,7464,3
3,5,control,control6,that thing happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Jennifer,NA,control,0.62,7374,3
4,6,hear,6,that thing happened,F,Mia is a college student,factH,Did Ray hear that a particular thing happened?,6,M,Dorothy,Tyler,C,0.89,4743,3
5,7,suggest,8,that thing happened,F,Emily never has any money,factL,Did Brian suggest that a particular thing happened?,8,M,Linda,Edward,C,0.51,5008,3
6,8,see,11,that thing happened,F,Danny loves cake,factH,Did Amanda see that a particular thing happened?,11,F,Elizabeth,Rachel,NonProj,0.81,4568,3
7,9,confess,15,that thing happened,F,Tony has been sober for 20 years,factL,Did Rebecca confess that a particular thing happened?,15,F,Jennifer,Rebecca,C,0.64,4089,3
8,10,discover,3,that thing happened,M,Emma is in law school,factH,Did Justin discover that a particular thing happened?,3,M,Thomas,Scott,NonProj,0.39,5134,3
9,11,be_right_that,12,that thing happened,F,Frank has always wanted a pet,factH,Is Melissa right that a particular thing happened?,12,F,Karen,Brenda,C,0.18,3265,3
10,12,inform_Sam,17,that thing happened,F,Owen lives in Chicago,factH,Did Cynthia inform Sam that a particular thing happened?,17,F,Kimberly,Shirley,C,0.68,2743,3
11,13,pretend,10,that thing happened,F,Zoe is 5 years old,factL,Did Tim pretend that a particular thing happened?,10,M,Lisa,Raymond,NonProj,0.62,4223,3
12,14,reveal,4,that thing happened,F,Olivia has two small children,factL,Did Jerry reveal that a particular thing happened?,4,M,Susan,Andrew,NonProj,0.53,3288,3
13,15,acknowledge,1,that thing happened,F,Mary is taking a prenatal yoga class,factH,Did Patrick acknowledge that a particular thing happened?,1,M,Nancy,Gary,C,0.67,5831,3
14,16,think,16,that thing happened,M,Josh is a 5-year old boy,factH,Does Sharon think that a particular thing happened?,16,F,William,Sharon,NonProj,0.39,3144,3
15,17,establish,2,that thing happened,F,Josie loves France,factH,Did Scott establish that a particular thing happened?,2,M,Michelle,Nicholas,NonProj,0.57,5448,3
16,18,control,control3,that thing happened,F,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,Susan,NA,control,0.07,6648,3
17,19,announce,14,that thing happened,F,Jayden doesn't have a driver's license,factL,Did Stephanie announce that a particular thing happened?,14,F,Ashley,Virginia,C,0.59,3040,3
18,20,admit,7,that thing happened,M,Isabella is a vegetarian,factL,Did Kevin admit that a particular thing happened?,7,M,Kenneth,Jeffrey,C,0.68,2921,3
19,21,demonstrate,18,that thing happened,F,Julian is Cuban,factH,Did Kathleen demonstrate that a particular thing happened?,18,F,Carol,Stephanie,C,0.27,5727,3
20,22,confirm,13,that thing happened,M,Jackson is obese,factL,Did Laura confirm that a particular thing happened?,13,F,Christopher,Diane,C,0.5,3888,3
21,23,control,control2,that thing happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Linda,NA,control,0.89,6800,3
22,24,annoyed,19,that thing happened,F,Jon lives 10 miles away from work,factL,Is Ruth annoyed that a particular thing happened?,19,F,Jessica,Julie,NonProj,0.63,2992,3
23,25,control,control1,that thing happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Jessica,NA,control,0.8,4664,3
24,26,control,control4,that thing happened,F,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,Ashley,NA,control,0.71,5272,3
25,27,prove,20,that thing happened,F,Charley lives in Korea,factL,Did Anna prove that a particular thing happened?,20,F,Donna,Ruth,C,0.41,3712,3
0,2,announce,2,that thing happened,F,Josie loves France,factH,Did Scott announce that a particular thing happened?,2,M,Sarah,Nicholas,C,0.01,10853,4
1,3,pretend,1,that thing happened,F,Mary is a middle school student,factL,Did Patrick pretend that a particular thing happened?,1,M,Susan,Benjamin,NonProj,0.75,11323,4
2,4,demonstrate,13,that thing happened,M,Jackson is training for a marathon,factH,Did Laura demonstrate that a particular thing happened?,13,F,Kenneth,Amy,C,0.08,5105,4
3,5,acknowledge,14,that thing happened,M,Jayden's car is in the shop,factH,Did Stephanie acknowledge that a particular thing happened?,14,F,Mark,Carolyn,C,1.0,5994,4
4,6,suggest,7,that thing happened,F,Isabella is from Argentina,factH,Did Kevin suggest that a particular thing happened?,7,M,Kimberly,Scott,C,0.12,5785,4
5,7,establish,8,that thing happened,F,Emily has been saving for a year,factH,Did Brian establish that a particular thing happened?,8,M,Michelle,Larry,NonProj,0.28,7214,4
6,8,reveal,16,that thing happened,F,Josh is a 75-year old man,factL,Did Sharon reveal that a particular thing happened?,16,F,Jessica,Kathleen,NonProj,0.11,4987,4
7,9,control,control3,that thing happened,F,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,Ashley,NA,control,0.06,38964,4
8,10,inform_Sam,12,that thing happened,M,Frank has always wanted a pet,factH,Did Melissa inform Sam that a particular thing happened?,12,F,Richard,Janet,C,0.5,8725,4
9,11,control,control1,that thing happened,M,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Paul,NA,control,1.0,5264,4
10,12,control,control6,that thing happened,M,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Matthew,NA,control,1.0,34667,4
11,13,control,control4,that thing happened,F,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,Lisa,NA,control,1.0,6008,4
12,14,confess,11,that thing happened,F,Danny is a diabetic,factL,Did Amanda confess that a particular thing happened?,11,F,Elizabeth,Rebecca,C,0.3,5374,4
13,15,hear,19,that thing happened,F,Jon lives 10 miles away from work,factL,Did Ruth hear that a particular thing happened?,19,F,Lisa,Joyce,C,1.0,3987,4
14,16,annoyed,17,that thing happened,M,Owen lives in New Orleans,factL,Is Cynthia annoyed that a particular thing happened?,17,F,Thomas,Melissa,NonProj,0.98,5903,4
15,17,admit,20,that thing happened,M,Charley lives in Korea,factL,Did Anna admit that a particular thing happened?,20,F,Matthew,Nicole,C,0.38,15538,4
16,18,be_right_that,9,that thing happened,M,Grace hates her sister,factL,Is Andrew right that a particular thing happened?,9,M,Christopher,Brandon,C,0.04,6322,4
17,19,control,control5,that thing happened,M,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Christopher,NA,control,0.94,4422,4
18,20,prove,4,that thing happened,F,Olivia has two small children,factL,Did Jerry prove that a particular thing happened?,4,M,Ashley,Gary,C,0.24,7165,4
19,21,say,10,that thing happened,F,Zoe is a math major,factH,Did Tim say that a particular thing happened?,10,M,Carol,Eric,C,0.13,5126,4
20,22,see,3,that thing happened,M,Emma is in law school,factH,Did Justin see that a particular thing happened?,3,M,Robert,Kevin,NonProj,0.17,6933,4
21,23,confirm,15,that thing happened,F,Tony has been sober for 20 years,factL,Did Rebecca confirm that a particular thing happened?,15,F,Donna,Amanda,C,0.19,4653,4
22,24,control,control2,that thing happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Elizabeth,NA,control,1.0,4996,4
23,25,discover,18,that thing happened,M,Julian is German,factL,Did Kathleen discover that a particular thing happened?,18,F,Paul,Brenda,NonProj,0.41,5694,4
24,26,think,5,that thing happened,M,Sophia is a hipster,factH,Does Ben think that a particular thing happened?,5,M,William,Tyler,NonProj,0.31,6698,4
25,27,know,6,that thing happened,M,Mia is a college student,factH,Does Ray know that a particular thing happened?,6,M,David,Alexander,NonProj,0.28,3744,4
0,2,demonstrate,14,that thing happened,F,Jayden doesn't have a driver's license,factL,Did Stephanie demonstrate that a particular thing happened?,14,F,Helen,Christina,C,0.15,10383,5
1,3,inform_Sam,5,that thing happened,F,Sophia is a hipster,factH,Did Ben inform Sam that a particular thing happened?,5,M,Betty,Ronald,C,0.14,4656,5
2,4,hear,13,that thing happened,F,Jackson is obese,factL,Did Laura hear that a particular thing happened?,13,F,Jennifer,Melissa,C,0.58,6025,5
3,5,prove,12,that thing happened,F,Frank is allergic to cats,factL,Did Melissa prove that a particular thing happened?,12,F,Jessica,Anna,C,0.17,3128,5
4,6,control,control2,that thing happened,M,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Robert,NA,control,0.62,12593,5
5,7,control,control3,that thing happened,F,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,Jennifer,NA,control,0.75,7521,5
6,8,control,control4,that thing happened,F,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,Nancy,NA,control,0.75,6841,5
7,9,see,10,that thing happened,F,Zoe is a math major,factH,Did Tim see that a particular thing happened?,10,M,Carol,Justin,NonProj,0.77,5176,5
8,10,think,18,that thing happened,M,Julian is German,factL,Does Kathleen think that a particular thing happened?,18,F,Robert,Brenda,NonProj,0.25,4104,5
9,11,annoyed,11,that thing happened,F,Danny is a diabetic,factL,Is Amanda annoyed that a particular thing happened?,11,F,Ashley,Joyce,NonProj,0.86,3568,5
10,12,announce,19,that thing happened,F,Jon lives 2 blocks away from work,factH,Did Ruth announce that a particular thing happened?,19,F,Kimberly,Angela,C,0.79,3944,5
11,13,acknowledge,16,that thing happened,M,Josh is a 75-year old man,factL,Did Sharon acknowledge that a particular thing happened?,16,F,Kenneth,Nicole,C,0.81,3336,5
12,14,say,15,that thing happened,M,Tony really likes to party with his friends,factH,Did Rebecca say that a particular thing happened?,15,F,Thomas,Rachel,C,0.14,4041,5
13,15,pretend,9,that thing happened,F,Grace loves her sister,factH,Did Andrew pretend that a particular thing happened?,9,M,Dorothy,Gary,NonProj,0.16,3304,5
14,16,discover,1,that thing happened,F,Mary is taking a prenatal yoga class,factH,Did Patrick discover that a particular thing happened?,1,M,Elizabeth,Timothy,NonProj,0.24,4697,5
15,17,confess,8,that thing happened,F,Emily never has any money,factL,Did Brian confess that a particular thing happened?,8,M,Nancy,Alexander,C,0.23,4576,5
16,18,know,17,that thing happened,F,Owen lives in Chicago,factH,Does Cynthia know that a particular thing happened?,17,F,Sarah,Sharon,NonProj,0.73,3873,5
17,19,reveal,3,that thing happened,F,Emma is in first grade,factL,Did Justin reveal that a particular thing happened?,3,M,Linda,Jeffrey,NonProj,0.26,4728,5
18,20,suggest,7,that thing happened,M,Isabella is from Argentina,factH,Did Kevin suggest that a particular thing happened?,7,M,David,Ryan,C,0.24,4129,5
19,21,be_right_that,4,that thing happened,M,Olivia works the third shift,factH,Is Jerry right that a particular thing happened?,4,M,Matthew,Benjamin,C,0.26,3328,5
20,22,control,control1,that thing happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Linda,NA,control,0.8,8073,5
21,23,control,control5,that thing happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Ashley,NA,control,0.75,3112,5
22,24,confirm,2,that thing happened,F,Josie doesn't have a passport,factL,Did Scott confirm that a particular thing happened?,2,M,Margaret,Tyler,C,0.21,4105,5
23,25,establish,6,that thing happened,F,Mia is a college student,factH,Did Ray establish that a particular thing happened?,6,M,Karen,Scott,NonProj,0.2,4857,5
24,26,admit,20,that thing happened,F,Charley lives in Korea,factL,Did Anna admit that a particular thing happened?,20,F,Sandra,Rebecca,C,0.19,2632,5
25,27,control,control6,that thing happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Jessica,NA,control,0.84,5353,5
0,2,annoyed,13,that thing happened,F,Jackson is obese,factL,Is Laura annoyed that a particular thing happened?,13,F,Betty,Virginia,NonProj,1.0,12473,6
1,3,control,control2,that thing happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Betty,NA,control,0.87,17242,6
2,4,be_right_that,15,that thing happened,F,Tony really likes to party with his friends,factH,Is Rebecca right that a particular thing happened?,15,F,Susan,Melissa,C,0.09,5904,6
3,5,inform_Sam,2,that thing happened,M,Josie doesn't have a passport,factL,Did Scott inform Sam that a particular thing happened?,2,M,Thomas,Gary,C,0.79,42132,6
4,6,announce,1,that thing happened,M,Mary is a middle school student,factL,Did Patrick announce that a particular thing happened?,1,M,David,Brian,C,0.17,3535,6
5,7,control,control3,that thing happened,M,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,Steven,NA,control,1.0,4983,6
6,8,say,12,that thing happened,F,Frank has always wanted a pet,factH,Did Melissa say that a particular thing happened?,12,F,Karen,Julie,C,0.2,6743,6
7,9,demonstrate,8,that thing happened,F,Emily never has any money,factL,Did Brian demonstrate that a particular thing happened?,8,M,Nancy,Tyler,C,0.2,2329,6
8,10,control,control5,that thing happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Elizabeth,NA,control,0.83,11046,6
9,11,confess,6,that thing happened,F,Mia is a nun,factL,Did Ray confess that a particular thing happened?,6,M,Lisa,Nicholas,C,0.78,2341,6
10,12,know,10,that thing happened,F,Zoe is 5 years old,factL,Does Tim know that a particular thing happened?,10,M,Elizabeth,Scott,NonProj,0.79,2299,6
11,13,think,4,that thing happened,M,Olivia has two small children,factL,Does Jerry think that a particular thing happened?,4,M,Matthew,Alexander,NonProj,0.91,3169,6
12,14,control,control1,that thing happened,M,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Thomas,NA,control,0.84,29676,6
13,15,reveal,16,that thing happened,M,Josh is a 75-year old man,factL,Did Sharon reveal that a particular thing happened?,16,F,Steven,Joyce,NonProj,0.79,4351,6
14,16,confirm,20,that thing happened,F,Charley lives in Mexico,factH,Did Anna confirm that a particular thing happened?,20,F,Dorothy,Amanda,C,0.22,33721,6
15,17,establish,9,that thing happened,F,Grace loves her sister,factH,Did Andrew establish that a particular thing happened?,9,M,Helen,Kevin,NonProj,0.18,3882,6
16,18,see,18,that thing happened,M,Julian is Cuban,factH,Did Kathleen see that a particular thing happened?,18,F,Mark,Catherine,NonProj,0.0,2747,6
17,19,admit,17,that thing happened,M,Owen lives in Chicago,factH,Did Cynthia admit that a particular thing happened?,17,F,Paul,Stephanie,C,0.11,2839,6
18,20,control,control6,that thing happened,M,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Matthew,NA,control,0.31,13429,6
19,21,hear,14,that thing happened,F,Jayden's car is in the shop,factH,Did Stephanie hear that a particular thing happened?,14,F,Linda,Brenda,C,0.17,19893,6
20,22,suggest,19,that thing happened,F,Jon lives 2 blocks away from work,factH,Did Ruth suggest that a particular thing happened?,19,F,Kimberly,Diane,C,0.05,3400,6
21,23,control,control4,that thing happened,F,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,Nancy,NA,control,1.0,3233,6
22,24,acknowledge,11,that thing happened,F,Danny is a diabetic,factL,Did Amanda acknowledge that a particular thing happened?,11,F,Michelle,Angela,C,0.13,31117,6
23,25,prove,3,that thing happened,F,Emma is in law school,factH,Did Justin prove that a particular thing happened?,3,M,Jennifer,Raymond,C,0.1,2076,6
24,26,discover,5,that thing happened,M,Sophia is a hipster,factH,Did Ben discover that a particular thing happened?,5,M,Christopher,Jacob,NonProj,0.06,2348,6
25,27,pretend,7,that thing happened,F,Isabella is a vegetarian,factL,Did Kevin pretend that a particular thing happened?,7,M,Sarah,Larry,NonProj,0.13,4927,6
0,2,hear,11,that thing happened,M,Danny loves cake,factH,Did Amanda hear that a particular thing happened?,11,F,Kenneth,Amy,C,1.0,14411,7
1,3,pretend,15,that thing happened,M,Tony has been sober for 20 years,factL,Did Rebecca pretend that a particular thing happened?,15,F,Steven,Anna,NonProj,0.0,9184,7
2,4,be_right_that,1,that thing happened,F,Mary is a middle school student,factL,Is Patrick right that a particular thing happened?,1,M,Kimberly,Kevin,C,0.01,8332,7
3,5,say,2,that thing happened,F,Josie loves France,factH,Did Scott say that a particular thing happened?,2,M,Carol,Timothy,C,0.23,14861,7
4,6,demonstrate,12,that thing happened,F,Frank has always wanted a pet,factH,Did Melissa demonstrate that a particular thing happened?,12,F,Margaret,Cynthia,C,0.76,7586,7
5,7,annoyed,17,that thing happened,F,Owen lives in New Orleans,factL,Is Cynthia annoyed that a particular thing happened?,17,F,Betty,Rachel,NonProj,0.98,4423,7
6,8,confess,7,that thing happened,F,Isabella is a vegetarian,factL,Did Kevin confess that a particular thing happened?,7,M,Jennifer,Nicholas,C,0.5,10772,7
7,9,acknowledge,8,that thing happened,M,Emily never has any money,factL,Did Brian acknowledge that a particular thing happened?,8,M,Thomas,Jerry,C,0.74,6494,7
8,10,reveal,10,that thing happened,F,Zoe is a math major,factH,Did Tim reveal that a particular thing happened?,10,M,Donna,Edward,NonProj,0.68,6396,7
9,11,see,3,that thing happened,F,Emma is in first grade,factL,Did Justin see that a particular thing happened?,3,M,Jessica,Benjamin,NonProj,0.51,7382,7
10,12,control,control6,that thing happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Jessica,NA,control,0.99,10099,7
11,13,establish,18,that thing happened,F,Julian is Cuban,factH,Did Kathleen establish that a particular thing happened?,18,F,Susan,Kathleen,NonProj,0.3,7363,7
12,14,inform_Sam,9,that thing happened,F,Grace loves her sister,factH,Did Andrew inform Sam that a particular thing happened?,9,M,Helen,Raymond,C,0.99,5197,7
13,15,discover,4,that thing happened,M,Olivia has two small children,factL,Did Jerry discover that a particular thing happened?,4,M,Matthew,Alexander,NonProj,0.99,7715,7
14,16,control,control3,that thing happened,M,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,Matthew,NA,control,0.99,8597,7
15,17,control,control4,that thing happened,M,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,James,NA,control,1.0,8632,7
16,18,control,control5,that thing happened,M,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Christopher,NA,control,0.97,9732,7
17,19,control,control2,that thing happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Jennifer,NA,control,0.99,5815,7
18,20,confirm,19,that thing happened,M,Jon lives 2 blocks away from work,factH,Did Ruth confirm that a particular thing happened?,19,F,William,Shirley,C,0.01,7131,7
19,21,announce,6,that thing happened,F,Mia is a nun,factL,Did Ray announce that a particular thing happened?,6,M,Sarah,Gregory,C,1.0,8268,7
20,22,control,control1,that thing happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Betty,NA,control,0.99,6669,7
21,23,prove,20,that thing happened,M,Charley lives in Korea,factL,Did Anna prove that a particular thing happened?,20,F,Christopher,Laura,C,0.03,8340,7
22,24,think,14,that thing happened,F,Jayden's car is in the shop,factH,Does Stephanie think that a particular thing happened?,14,F,Dorothy,Amanda,NonProj,0.03,8427,7
